index, midpointX, midpointY, midpointZ, nozzleRotationX, nozzleRotationY, nozzleRotationZ, pointToX, pointToY, pointToZ, length
312,97.411804642940467,-64.039785239563287,6.75,nan,nan,nan,92.109899887487998,-71.72092972180117,6.75,18.666566325160385
313,90.614471879268592,-73.887433860168755,6.75,nan,nan,nan,89.119043871049172,-76.053937998536341,6.75,5.264995768025252
314,88.448782773908434,-76.909463577392643,6.75,nan,nan,nan,87.778521676767696,-77.764989156248944,6.75,2.1736365422192514
315,87.010025883984824,-78.533484589330115,6.75,nan,nan,nan,86.241530091201952,-79.301980022411286,6.75,2.1736338368654375
316,79.255457978979564,-85.491094215290389,6.75,nan,nan,nan,72.269385866757176,-91.680208408169506,6.75,18.66658383847125
317,70.298930269018626,-93.425878150837264,6.75,nan,nan,nan,68.328474671280077,-95.171547893505036,6.75,5.265000707739715
318,67.472953167203684,-95.841805561049512,6.75,nan,nan,nan,66.617431663127277,-96.512063228593973,6.75,2.1736258968270477
319,65.68735706849273,-97.07431233177148,6.75,nan,nan,nan,64.757282473858183,-97.636561434948987,6.75,2.1736262839858447
320,56.493061768929664,-101.97395441749393,6.75,nan,nan,nan,48.228841064001152,-106.31134740003887,6.75,18.666582091513085
321,45.897877442757789,-107.53473017432987,6.75,nan,nan,nan,43.566913821514426,-108.75811294862086,6.75,5.26500021500167
322,42.575852324611233,-109.20415318711548,6.75,nan,nan,nan,41.584790827708041,-109.65019342561011,6.75,2.1736189040403002
323,40.547188560046934,-109.97352332126283,6.75,nan,nan,nan,39.509586292385833,-110.29685321691557,6.75,2.173624334864024
324,30.447526933267913,-112.53045034488969,6.75,nan,nan,nan,21.385467574149992,-114.76404747286381,6.75,18.666534328393254
325,18.82946968229135,-115.39404440006547,6.75,nan,nan,nan,16.273471790432708,-116.02404132726713,6.75,5.264986743181545
326,15.204459653782003,-116.21994499517598,6.75,nan,nan,nan,14.135447517131299,-116.41584866308483,6.75,2.1736284828890575
327,13.050618656026586,-116.48146864306585,6.75,nan,nan,nan,11.965789794921875,-116.54708862304688,6.75,2.173623370925567
328,2.6324998086640647,-116.54708862304688,6.75,nan,nan,nan,-6.7007901775937437,-116.54708862304688,6.75,18.66657997251562
329,-9.3332899862578103,-116.54708862304688,6.75,nan,nan,nan,-11.965789794921875,-116.54708862304688,6.75,5.264999617328131
